Parameters Used to Calculate CO2 Emissions;;;;;;;;;;;;;;;;;;;;;;;;;
"For methodology see ""Estimating carbon dioxide emissions from coal plants"" at https://www.gem.wiki/Estimating_carbon_dioxide_emissions_from_coal_plants";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Coal;Emission factor (kg of CO2 per TJ);Notes;Source;;;;;;;;;;;;;;;;;;;;;;
lignite;101 000;Lignite;"""2006 IPCC Guidelines for National Greenhouse Gas Inventories""";;;;;;;;;;;;;;;;;;;;;;
subbituminous;96 100;Subbituminous;"""2006 IPCC Guidelines for National Greenhouse Gas Inventories""";;;;;;;;;;;;;;;;;;;;;;
bituminous;94 600;Bituminous;"""2006 IPCC Guidelines for National Greenhouse Gas Inventories""";;;;;;;;;;;;;;;;;;;;;;
anthracite;98 300;Anthracite;"""2006 IPCC Guidelines for National Greenhouse Gas Inventories""";;;;;;;;;;;;;;;;;;;;;;
waste coal;94 600;Waste Coal, Culm;Same as bituminous;;;;;;;;;;;;;;;;;;;;;;
unknown;96 100;When coal is unknown, value for subbituminous is used;"""2006 IPCC Guidelines for National Greenhouse Gas Inventories""";;;;;;;;;;;;;;;;;;;;;;
lignite with CCS;10 100;Lignite in a carbon capture plant with 90% capture and storage;Lignite reduced by 90%;;;;;;;;;;;;;;;;;;;;;;
subbituminous with CCS;9 610;Subbituminous in a carbon capture and storage plant with 90% capture and storage;Subbituminous reduced by 90%;;;;;;;;;;;;;;;;;;;;;;
bituminous with CCS;9 460;Bituminous in a carbon capture and storage plant with 90% capture and storage;Bituminous reduced by 90%;;;;;;;;;;;;;;;;;;;;;;
unknown with CCS;9 460;Unknown coal in a carbon capture and storage plant with 30% capture and storage;Same as bituminous with CCS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Capacity Factor;;Notes;;;;;;;;;;;;;;;;;;;;;;;
CAPF;55%;2024 global average based on GEM operating coal power capacity and Ember global coal power generation;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Combustion Technology;Heat rate (Btu per kWh);Notes;;;;;;;;;;;;;;;;;;;;;;;
"""New Coal-Fired Power Plant Performance and Cost Estimates,"" Sargent & Lundy, 2009";;;;;;;;;;;;;;;;;;;;;;;;;
Subcritical;8702;Subcritical;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
Supercritical;8409;Supercritical;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
Ultra-supercritical;8272;Ultra-super;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
CFB;8702;Circulating fluidized bed;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
IGCC;7528;Integrated gasification combined cycle;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
Unknown;8605;Unknown combustion technology;Interpolation of subcritical and supercritical combustion technology with unknown coal;;;;;;;;;;;;;;;;;;;;;;
IGCC/CCS;10505;IGCC with carbon capture and sequestration;"""GE Energy IGCC Plant With Carbon Capture & Sequestration,"" NETL 2007";;;;;;;;;;;;;;;;;;;;;;
Supercritical/CCS;12534;Supercritical with carbon capture and sequestration;"""Supercritical Pulverized Bituminous Coal Plant With Carbon Capture & Sequestration,"" NETL 2007";;;;;;;;;;;;;;;;;;;;;;
Subcritical/CCS;13724;Subcritical with carbon capture and sequestration;"""Subcritical Pulverized Bituminous Coal Plant with Carbon Capture & Sequestration,"" NETL 2007";;;;;;;;;;;;;;;;;;;;;;
Unknown/CCS;12534;Unknown combustion technology with carbon capture and sequestration;Same as Supercritical/CCS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lifetime;;Notes;;;;;;;;;;;;;;;;;;;;;;;
Assumed lifetime;35 years;For lifetime CO2 emissions, GEM assumes an average lifetime of 35 years, based on the global average retirement age of 37 years. If a coal plant is older than 35 years, GEM assumes 5 additional years of operation. If a plant has a planned retire date, GEM assumes the plant will cease operating that year.;"""Estimating carbon dioxide emissions from coal plants"" (GEM.wiki)";;;;;;;;;;;;;;;;;;;;;;
